Town,SB%Transformed,PropTar(3,Latitude,Longitude,Altitude,Rainfall,MaxSummer,MaxWinter,MinSummer,MinWinter,EvapVal,Aridity,SoilGroup,SAGeol,VegMapBiome
Britstown,0,Low,-30.584959,23.504928,1126,297.1461333,30,21,15,1,2200,AridZone,Cambisols,Ecca,Nama-Karoo
Buffelsjagsrivier,0,Low,-34.03942103,20.5411542,71,679.8384706,28,21,15,7,1600,SemiAridZone,Unknown,Bokkeveld,Azonal
Burgersdorp,6.50622054,High,-31.00710048,26.32371606,1390,522,28,19,13.5,-1,1800,SemiAridZone,Luvisols,Tarkastad,Nama-Karoo
Calitzdorp,0,High,-33.53109708,21.68805007,246,214.4050286,28,23,15,5,1800,AridZone,Cambisols,Kalahari,Succulent
Calvinia,0,Low,-31.4694444,19.7772222,986,227.1736923,28,19,13.5,3,2200,AridZone,Luvisols,Ecca,Succulent
Carnarvon,5.640477759,Medium,-30.96778106,22.13318594,1251,233.3721212,28,19,13.5,1,2600,AridZone,Luvisols,Ecca,Nama-Karoo
Colesberg,3.745478078,Medium,-30.7175065,25.0932665,1391,390.8142778,28,19,13.5,1,1800,SemiAridZone,Luvisols,Adelaide,Grassland
Cookhouse,10.08656734,Medium,-32.7461103,25.80406503,585,441.6278462,28,23,15,5,1800,SemiAridZone,Luvisols,Adelaide,Azonal
Cradock,0,High,-32.170617,25.61425,908,322.3837273,30,21,15,3,2000,SemiAridZone,Leptosols,Adelaide,Nama-Karoo
Danielskuil,0,Medium,-28.1800707,23.55492946,1466,405.5696154,30,21,15,1,2200,SemiAridZone,Cambisols,Transvaal,Savanna
De_Aar,3.448425457,High,-30.65546415,24.00726338,1248,312.4858519,28,19,13.5,1,2200,AridZone,Cambisols,Ecca,Nama-Karoo
De_Hoop,0,Low,-33.6058576,22.0388759,270,301.8860556,28,21,15,5,1800,AridZone,Cambisols,Uitenhage,Azonal
De_Rust,4.109606698,Medium,-33.488094,22.53409,472,318.2825946,26,21,15,5,1600,SemiAridZone,Leptosols,Malmesbury,Albany
Dealesville,0,Low,-28.67465111,25.76622106,1256,471.9442903,30,23,15,-1,2000,SemiAridZone,Luvisols,Ecca,Grassland
Dewetsdorp,1.593281083,Low,-29.581859,26.6700485,1534,590.931,26,19,13.5,-1,1800,SemiAridZone,Luvisols,Tarkastad,Grassland
Dordrecht,0,Low,-31.36389258,27.05253104,1614,600.84208,23,17,11.5,-1,1600,SemiAridZone,Luvisols,ClarensEl,Grassland
Dysselsdorp,0,Medium,-33.5736111,22.4333333,369,253.5881081,26,21,15,5,1800,AridZone,Cambisols,Uitenhage,Azonal
Edenburg,7.154551663,Low,-29.73585944,25.937238,1366,485.2400606,28,21,13.5,-1,2000,SemiAridZone,Luvisols,Adelaide,Grassland
Excelsior,0,Low,-28.93643198,27.061802,1468,579.0401714,28,21,13.5,-1,1800,SemiAridZone,Lixisols,Adelaide,Grassland
Fauresmith,2.700106885,Low,-29.746867,25.311032,1360,489.2632667,28,19,15,1,2000,SemiAridZone,Cambisols,SuurbergD,Grassland
Fort_Beaufort,0,Medium,-32.7766075,26.6333138,441,519.7183243,28,23,15,5,1600,SemiAridZone,Regosols,Adelaide,Savanna
